id,sent1,sent2,ending0,ending1,ending2,ending3,ending4,end0type,end1type,end2type,end3type,end4type,label
1191,want to send a message while i wait for the transport,,get my phone out and watch some clips on youtube,take the train,wait for the train talking on the phone,will get my tablet and write to someone.,fall in line and wait for a bus in a crowded area,vis,lan,targ,vis,lan,2
1192,want to text,,offer to make the fonts bigger on the phone,use my camera to take pictures.,use my phone.,will call my mom on the phone to chat,take a picture on my phone of my children,vis,lan,targ,vis,lan,2
1193,want my mum,,phone up and order room service,allow the man to take a picture of me with his cell phone,smile and signal to talk to her after her phonecall,text her on my phone,get under the umbrella with the girl,vis,vis,lan,targ,lan,3
1194,feeling lonely,,get a drink from the store,grab a phone,wait seating down for the boat while texting on my phone,will get my tablet and write to someone.,use the train to get home,lan,targ,vis,vis,lan,1
1195,need to talk to someone,,take a break and stand on the sidewalk,walk quickly past the woman talking on the phone,will get my tablet and write to someone.,use a cell phone on the busy street,i will listen to the man talk on his phone,lan,lan,vis,targ,vis,3
1196,feel talkative,,will show the child how to use the phone,phone a friend like the woman,get my phone out and watch some clips on youtube,smile and signal to talk to her after her phonecall,able to talk to the girl,vis,targ,vis,lan,lan,1
1197,want to ask her to do the same for me.,,take the man's camera away from him,tell him to get off the phone.,take a picture of the toddler putting a phone in his mouth,wait seating down for the boat while texting on my phone,show an elderly woman how to operate her cellphone,lan,targ,lan,vis,vis,1
1198,want to talk to my child,,use my cell phone,will get my tablet and write to someone.,get my laptop out like the other people,play on my phone until the train comes.,offer to make the fonts bigger on the phone,targ,vis,lan,lan,vis,0
1199,need to get in touch with someone,,walk past them,will get my tablet and write to someone.,i will listen to the man talk on his phone,take out my laptop and communicate,call them on my cellphone.,lan,vis,vis,lan,targ,4
1200,want something to do,,text my girlfriend,send her text message and ask her out,compliment the woman on her hat when she gets off the phone,wait for the man to move away from the glass with his phone,use the phone to order it,targ,lan,lan,vis,vis,0
1201,am trying to find my friend,,go up to them and start a conversation about their teddy bear,i will play on my mobile phone.,tell the woman hello,use the cb radios,send them a text while waiting,lan,vis,lan,vis,targ,4
1202,want to send text,,retrieve it and throw it back to the boy on the court.,use the will controller.,will call my mom on the phone to chat,talk on the phone while i get to my destination,use the cell,lan,lan,vis,vis,targ,4
1203,need to get information,,speak at a conference and use the microphone to answer questions,use my phone to order from a take out menu,make a call on the phone and write notes,i'll play with my phone,go to the beach where only one woman sits talking on her phone,lan,lan,targ,vis,vis,2
1204,felt like catching up with others,,take a picture of the toddler putting a phone in his mouth,get my phone out and watch some clips on youtube,phone up and order room service,use my camera to take pictures.,would text on my cell phone,lan,vis,vis,lan,targ,4
1205,feel lonely,,use my computer.,take out my laptop,wait for the man to move away from the glass with his phone,message my friends with my phone,get my phone out and watch some clips on youtube,lan,lan,vis,targ,vis,3
1206,feel bored,,will get my tablet and write to someone.,play on my phone,show an elderly woman how to operate her cellphone,watch one on my laptop,play a game on the television,vis,targ,vis,lan,lan,1
1207,want to preserve a memory,,take a picture,take a picture with my phone,make a call on the phone and write notes,i will listen to the man talk on his phone,try to photobomb the picture,lan,targ,vis,vis,lan,1
1208,want to earn money,,order from the restaurant,take an order on the phone,hang out with a group of guys and play on our cellphones,pretend to talk on my phone when i walk across the street.,tell her to hurry up on the phone the train is arriving.,lan,targ,vis,vis,lan,1
1209,need to talk to him,,sit next to him on the couch,go over and talk to her,call him on the phone,wait in a traffic jam while talking on my phone,will get my tablet and write to someone.,lan,lan,targ,vis,vis,2
1210,am feeling social,,will get my tablet and write to someone.,go to the lake to talk with friends.,have some drinks out with friends,will show the child how to use the phone,talk on the phone to a friend.,vis,lan,lan,vis,targ,4
1211,if i had to take a call whilst outside,,use my laptop to check it.,pick my phone and call a friend to ask,send them a text while waiting,i would use my mobile in this way,i will sit here and eat pizza with the bearded guy,lan,vis,vis,targ,lan,3
1212,am amazed,,take a selfie,will call my mom on the phone to chat,take a photo of the people,show an elderly woman how to operate her cellphone,take a picture with my phone.,lan,vis,lan,vis,targ,4
1213,i want to connect,,i will observe the man in the kitchen,i will walk past the man on his phone,stand next to the man and look at his laptop,offer to make the fonts bigger on the phone,use the phone to order it,lan,targ,lan,vis,vis,1
1214,want to talk,,play on my phone until the train comes.,use the proper equipment to move the appliance,wait seating down for the boat while texting on my phone,use the telephone,will get my tablet and write to someone.,lan,lan,vis,targ,vis,3
1215,want to talk to my friends,,borrow one of the people's laptops,i will play with my phone,purchase a cell phone and call them up,go to the store and buy a baseball poster,hack into my boyfriend's skype conversation,lan,vis,targ,lan,vis,2
1216,am happy and excited,,will get my tablet and write to someone.,ride my surfboard on a big wave,wave my phone in the air,ride this wave with my surfboard,try a tablet or cell phone to see how it works,vis,lan,targ,lan,vis,2
1217,feel like avoiding others,,use the cell,talk on my phone and face away from other people at the subway station.,pretend to talk on my phone when i walk across the street.,search on my cellphone,play on my phone until the train comes.,vis,lan,targ,vis,lan,2
1218,could love someone,,offer to make the fonts bigger on the phone,talk on my cell phone like the woman,will get my tablet and write to someone.,play tennis with the woman,take the taxi instead of the woman,vis,targ,vis,lan,lan,1
1219,am feeling like being outside,,use the cb radios,visit with friends and talk on the phone,play video games with friends,look at my phone too,go on a bus ride with my friends,vis,targ,lan,vis,lan,1
1220,want to cheer myself up,,will get my tablet and write to someone.,talk to my friend on the phone,call a friend to join me at the restaurant.,call on the phone to come and get my hair cut,wait seating down for the boat while texting on my phone,vis,targ,lan,lan,vis,1
1221,want to talk to someone,,smile and take a selfie with a cell phone,wait for the man to move away from the glass with his phone,will get my tablet and write to someone.,take a picture on my phone of my children,call them on my cellphone.,lan,vis,vis,lan,targ,4
1222,want to remember an event,,use my camera to take pictures.,offer to make the fonts bigger on the phone,turn on my computer and put some good music,record it on my cell phone,use my friend's cellphone to book a reservation at a restaurant,lan,vis,lan,targ,vis,3
1223,get excited,,will get my tablet and write to someone.,take a picture of the cow,sit down and check if anyone has sent me a text,take a picture of the cow with my phone.,take a photo of the child and cat,vis,lan,vis,targ,lan,3
1224,want to remember the artwork i saw,,i will listen to the man talk on his phone,take a photo,take a picture of it with my phone,smile and take a selfie with a cell phone,show an elderly woman how to operate her cellphone,vis,lan,targ,lan,vis,2
1225,if i need to talk to someone,,show an elderly woman how to operate her cellphone,i will play games with someone,i write a text message,wait for the man to move away from the glass with his phone,go out to lunch with friends,vis,lan,targ,vis,lan,2
1226,if i need to talk to someone,,get my phone out and watch some clips on youtube,i write a text message,wait for the man to move away from the glass with his phone,go on a bus ride with my friends,put my arm around the couple,vis,targ,vis,lan,lan,1
1227,needed to talk to someone,,help the woman take a photo with her phone,call them on a cell phone i borrowed from this woman,tell the woman hello,will get my tablet and write to someone.,offer to make the fonts bigger on the phone,lan,targ,lan,vis,vis,1
1228,feel uncomfortable,,invite them to the restaurant and talk with them,call my friends to help me,try a tablet or cell phone to see how it works,pretend to take a phone call,wait seating down for the boat while texting on my phone,lan,lan,vis,targ,vis,3
